"","KL","CH","Hartigan","CCC","Scott","Marriot","TrCovW","TraceW","Friedman","Rubin","Cindex","DB","Silhouette","Duda","PseudoT2","Beale","Ratkowsky","Ball","PtBiserial","Frey","McClain","Dunn","Hubert","SDindex","Dindex","SDbw"
"Number_clusters",6,20,3,20,3,6,4,3,10,15,10,15,8,3,3,2,3,3,4,1,2,20,0,6,0,20
"Value_Index",33.3605,1601.5479,460.2549,12.023,1028.0832,327808826245.96,84611497090.94,325835.1745,5.5224,-1.3564,0.2817,0.7975,0.4391,0.6435,343.4355,0.9889,0.4437,351245.0439,0.5882,NA,0.431,0.0367,0,0.0882,0,0.1123
